Date and Time: 09-Aug-2024 16:39:11
---------------------------------
N205; 4.616044; 3.954665; 0.789750; 
N206; 4.638728; 3.974099; 0.793631; 
N207; 4.661412; 3.993533; 0.797512; 
N208; 4.684096; 4.012967; 0.801393; 
N209; 4.706780; 4.032401; 0.805274; 
N210; 4.729464; 4.051835; 0.809155; 
N211; 4.752148; 4.071268; 0.813036; 
N212; 4.774832; 4.090702; 0.816917; 
N213; 4.797515; 4.110136; 0.820798; 
N214; 4.820199; 4.129570; 0.824678; 
N215; 4.842883; 4.149004; 0.828559; 
N216; 4.865567; 4.168437; 0.832440; 
N217; 4.888251; 4.187871; 0.836321; 
N218; 4.910935; 4.207305; 0.840202; 
N219; 4.933619; 4.226739; 0.844083; 
N220; 4.956303; 4.246173; 0.847964; 
N221; 4.978987; 4.265607; 0.851845; 
N222; 5.001671; 4.285040; 0.855726; 
N223; 5.024355; 4.304474; 0.859607; 
N224; 5.047039; 4.323908; 0.863488; 
N225; 5.069723; 4.343342; 0.867369; 
N226; 5.092407; 4.362776; 0.871250; 
N227; 5.115091; 4.382209; 0.875131; 
N228; 5.137775; 4.401643; 0.879012; 
N229; 5.160458; 4.421077; 0.882893; 
N230; 5.183142; 4.440511; 0.886774; 
N231; 5.205826; 4.459945; 0.890655; 
N232; 5.228510; 4.479379; 0.894536; 
N233; 5.251194; 4.498812; 0.898417; 
N234; 5.273878; 4.518246; 0.902297; 
N235; 5.296562; 4.537680; 0.906178; 
N236; 5.319246; 4.557114; 0.910059; 
N237; 5.341930; 4.576548; 0.913940; 
N238; 5.364614; 4.595982; 0.917821; 
N239; 5.387298; 4.615415; 0.921702; 
N240; 5.409982; 4.634849; 0.925583; 
N241; 5.432666; 4.654283; 0.929464; 
N242; 5.455350; 4.673717; 0.933345; 
N243; 5.478034; 4.693151; 0.937226; 
N244; 5.500718; 4.712584; 0.941107; 
N245; 5.523401; 4.732018; 0.944988; 
N246; 5.546085; 4.751452; 0.948869; 
N247; 5.568769; 4.770886; 0.952750; 
N248; 5.591453; 4.790320; 0.956631; 
N249; 5.614137; 4.809754; 0.960512; 
N250; 5.636821; 4.829187; 0.964393; 
N251; 5.659505; 4.848621; 0.968274; 
N252; 5.682189; 4.868055; 0.972155; 
N253; 5.704873; 4.887489; 0.976036; 
