Date and Time: 09-Aug-2024 16:55:09
---------------------------------
N251 X5.659505 Y4.848621 Z0.968274
N252 X5.682189 Y4.868055 Z0.972155
N253 X5.704873 Y4.887489 Z0.976036
N254 X5.727557 Y4.906923 Z0.979917
N255 X5.750241 Y4.926357 Z0.983797
N256 X5.772925 Y4.945790 Z0.987678
N257 X5.795609 Y4.965224 Z0.991559
N258 X5.818293 Y4.984658 Z0.995440
N259 X5.840977 Y5.004092 Z0.999321
N260 X5.863661 Y5.023526 Z1.003202
N261 X5.886344 Y5.042959 Z1.007083
N262 X5.909028 Y5.062393 Z1.010964
N263 X5.931712 Y5.081827 Z1.014845
N264 X5.954396 Y5.101261 Z1.018726
N265 X5.977080 Y5.120695 Z1.022607
N266 X5.999764 Y5.140129 Z1.026488
N267 X6.022448 Y5.159562 Z1.030369
N268 X6.045132 Y5.178996 Z1.034250
N269 X6.067816 Y5.198430 Z1.038131
N270 X6.090500 Y5.217864 Z1.042012
N271 X6.113184 Y5.237298 Z1.045893
N272 X6.135868 Y5.256732 Z1.049774
N273 X6.158552 Y5.276165 Z1.053655
N274 X6.181236 Y5.295599 Z1.057536
N275 X6.203920 Y5.315033 Z1.061416
N276 X6.226603 Y5.334467 Z1.065297
N277 X6.249287 Y5.353901 Z1.069178
N278 X6.271971 Y5.373334 Z1.073059
N279 X6.294655 Y5.392768 Z1.076940
N280 X6.317339 Y5.412202 Z1.080821
N281 X6.340023 Y5.431636 Z1.084702
N282 X6.362707 Y5.451070 Z1.088583
N283 X6.385391 Y5.470504 Z1.092464
N284 X6.408075 Y5.489937 Z1.096345
N285 X6.430759 Y5.509371 Z1.100226
N286 X6.453443 Y5.528805 Z1.104107
N287 X6.476127 Y5.548239 Z1.107988
N288 X6.498811 Y5.567673 Z1.111869
N289 X6.521495 Y5.587106 Z1.115750
N290 X6.544179 Y5.606540 Z1.119631
N291 X6.566863 Y5.625974 Z1.123512
N292 X6.589546 Y5.645408 Z1.127393
N293 X6.612230 Y5.664842 Z1.131274
N294 X6.634914 Y5.684276 Z1.135155
N295 X6.657598 Y5.703709 Z1.139035
N296 X6.680282 Y5.723143 Z1.142916
N297 X6.702966 Y5.742577 Z1.146797
N298 X6.725650 Y5.762011 Z1.150678
N299 X6.748334 Y5.781445 Z1.154559
N300 X6.771018 Y5.800879 Z1.158440
N301 X6.793702 Y5.820312 Z1.162321
N302 X6.816386 Y5.839746 Z1.166202
N303 X6.839070 Y5.859180 Z1.170083
N304 X6.861754 Y5.878614 Z1.173964
N305 X6.884438 Y5.898048 Z1.177845
N306 X6.907122 Y5.917481 Z1.181726
N307 X6.929806 Y5.936915 Z1.185607
N308 X6.952489 Y5.956349 Z1.189488
N309 X6.975173 Y5.975783 Z1.193369
N310 X6.997857 Y5.995217 Z1.197250
N311 X7.020541 Y6.014651 Z1.201131
N312 X7.043225 Y6.034084 Z1.205012
N313 X7.065909 Y6.053518 Z1.208893
N314 X7.088593 Y6.072952 Z1.212774
N315 X7.111277 Y6.092386 Z1.216654
N316 X7.133961 Y6.111820 Z1.220535
N317 X7.156645 Y6.131254 Z1.224416
N318 X7.179329 Y6.150687 Z1.228297
N319 X7.202013 Y6.170121 Z1.232178
N320 X7.224697 Y6.189555 Z1.236059
N321 X7.247381 Y6.208989 Z1.239940
N322 X7.270065 Y6.228423 Z1.243821
N323 X7.292749 Y6.247856 Z1.247702
N324 X7.315432 Y6.267290 Z1.251583
